Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0063_Sed_Field_ICR-U_p2,3865,2265,571,40,694,160,95,160,373,62,110,141,62,311,150,101,916,183,401
S19S_0064_Sed_Field_ICR-D_p2,3716,2289,595,38,688,223,149,137,322,41,96,98,47,363,142,68,1009,179,383
S19S_0064_Sed_Field_ICR-M_p2,3747,2349,699,28,652,221,161,128,300,57,103,86,30,388,147,74,1078,138,408
S19S_0064_Sed_Field_ICR-U_p15,2752,1472,424,33,470,73,61,84,261,18,48,67,22,123,115,39,637,89,380
S19S_0065_Sed_Field_ICR-D_p2,5124,2869,821,46,804,255,199,246,243,145,110,87,36,386,264,62,1241,180,613
S19S_0065_Sed_Field_ICR-M_p2,4850,2665,681,47,853,183,120,212,345,87,137,119,42,389,231,56,1037,268,523
S19S_0065_Sed_Field_ICR-U_p2,4725,2520,648,66,782,194,98,189,364,75,104,126,42,374,261,53,968,222,474
S19S_0066_Sed_Field_ICR-D_p2,4068,2549,716,43,753,229,172,205,232,81,118,75,30,315,177,45,1287,151,469
S19S_0066_Sed_Field_ICR-M_p2,3951,2336,736,32,642,209,159,145,285,57,71,80,35,373,163,47,1148,100,390
S19S_0066_Sed_Field_ICR-U_p2,4035,2519,754,25,740,216,169,144,309,78,84,69,21,399,116,36,1197,159,522
S19S_0067_Sed_Field_ICR-D_p2,3300,1664,482,29,434,198,99,79,255,38,50,59,25,217,100,22,837,119,285
S19S_0067_Sed_Field_ICR-M_p2,3723,2274,693,27,647,250,132,158,218,71,78,76,31,369,128,52,1068,117,433
S19S_0067_Sed_Field_ICR-U_p2,3607,1892,450,48,576,205,64,102,312,37,98,105,57,322,123,64,685,192,344
S19S_0068_Sed_Field_ICR-M_p2,4941,3118,810,71,982,203,177,233,294,110,238,166,40,482,209,63,1313,263,582
S19S_0068_Sed_Field_ICR-U_p2,3631,2005,506,43,684,129,107,165,230,46,95,105,32,298,105,51,900,126,388
S19S_0069_Sed_Field_ICR-D_p2,4465,2599,677,51,833,193,156,189,275,68,157,112,43,330,159,63,1211,175,506
S19S_0069_Sed_Field_ICR-M_p2,4933,2848,767,49,888,211,177,225,255,86,190,144,45,397,201,66,1250,232,513
S19S_0069_Sed_Field_ICR-U_p2,4924,2923,726,58,934,203,168,213,297,84,240,176,50,433,192,64,1227,267,514
S19S_0070_Sed_Field_ICR-D_p2,4745,2695,720,64,771,235,175,193,296,79,162,116,54,345,203,65,1212,203,497
S19S_0070_Sed_Field_ICR-M_p2,3754,2386,680,33,736,189,174,208,199,64,103,72,27,278,113,45,1262,145,444
S19S_0070_Sed_Field_ICR-U_p2,4869,2944,848,46,835,277,200,208,272,84,174,135,51,353,182,57,1439,203,524
S19S_0071_Sed_Field_ICR-D_p2,3697,2218,685,45,670,175,124,138,249,45,87,90,37,287,153,55,1040,101,455
S19S_0071_Sed_Field_ICR-M_p2,3810,2268,704,41,664,173,107,148,263,60,108,79,37,296,131,61,1010,134,520
S19S_0071_Sed_Field_ICR-U_p2,3553,2034,653,44,604,170,61,131,253,41,77,87,27,279,121,78,878,115,449
S19S_0072_Sed_Field_ICR-D_p2,3863,2412,711,32,701,246,172,166,224,56,104,91,25,315,132,35,1185,167,462
S19S_0072_Sed_Field_ICR-M_p2,3725,2369,617,34,720,232,158,190,243,71,104,75,44,283,163,60,1138,203,403
S19S_0072_Sed_Field_ICR-U_p2,3946,2606,767,34,727,315,204,168,240,52,99,70,35,329,173,70,1308,145,476
S19S_0073_Sed_Field_ICR-D_p2,3692,2362,745,27,605,329,178,118,250,38,72,74,33,331,130,46,1190,132,426
S19S_0073_Sed_Field_ICR-M_p2,3646,2326,758,21,545,353,178,109,246,37,79,67,26,314,131,41,1192,118,437
S19S_0073_Sed_Field_ICR-U_p2,3794,2387,763,27,622,301,172,106,265,35,96,85,33,357,143,54,1116,169,430
S19S_0074_Sed_Field_ICR-D_p2,3486,1753,411,36,592,101,42,135,302,43,91,106,28,282,119,47,638,164,369
S19S_0074_Sed_Field_ICR-M_p2,3982,2249,555,40,729,130,95,174,340,71,115,92,23,357,158,64,897,199,459
S19S_0074_Sed_Field_ICR-U_p2,3983,2257,603,35,748,115,94,191,257,73,141,88,22,324,157,58,971,176,461
S19S_0075_Sed_Field_ICR-D_p2,3960,1980,468,50,633,135,67,152,272,59,144,132,45,260,149,47,723,194,430
S19S_0075_Sed_Field_ICR-M_p2,3944,2317,556,39,766,141,80,171,338,77,149,116,33,317,209,70,852,198,522
S19S_0075_Sed_Field_ICR-U_p2,3658,1993,498,40,702,86,100,181,206,66,114,75,29,315,134,30,777,196,437
S19S_0076_Sed_Field_ICR-D_p2,3387,1987,537,37,618,119,79,160,240,83,114,98,38,332,104,55,802,156,402
S19S_0076_Sed_Field_ICR-M_p1,3229,1879,475,43,647,79,53,147,288,67,80,79,24,324,125,44,733,127,423
S19S_0076_Sed_Field_ICR-U_p1,4104,2635,756,49,763,131,142,216,284,156,138,85,40,394,167,72,1148,197,532
S19S_0077_Sed_Field_ICR-D_p2,3724,1986,495,34,704,98,36,147,321,48,103,91,21,316,129,47,769,200,413
S19S_0077_Sed_Field_ICR-M_p2,4444,2494,685,60,784,135,96,189,312,58,175,124,37,417,166,54,958,256,482
S19S_0077_Sed_Field_ICR-U_p2,3957,2403,621,38,823,122,82,211,255,78,173,109,34,385,142,56,1003,230,444
